x,y,z
-20.83496094,9.39806747,-0.77895463
-20.73496056,9.44806671,-0.77895463
-20.58496094,9.34806728,-0.6789546
-22.08496094,8.2480669,-0.1789546
-21.83496094,8.04806709,0.0710454
-21.68496132,7.94806719,-0.2289546
-21.53495979,7.94806719,-0.0789546
-21.53495979,7.99806738,-0.0789546
-21.53495979,8.59806728,-0.32895461
-21.38496017,8.64806747,0.27104539
-21.88496017,7.99806738,0.8210454
-22.08496094,9.19806671,-0.32895461
-21.98496056,9.14806747,-0.2289546
-21.78495979,9.29806709,-0.2289546
-21.88496017,9.34806728,-0.1789546
-22.03495979,9.19806671,0.2210454
-21.33496094,8.9980669,-0.1789546
-21.33496094,8.89806747,0.2210454
-21.63496017,9.14806747,-0.1789546
-21.68496132,9.34806728,-0.32895461
-21.68496132,9.29806709,-0.1789546
-21.38496017,9.09806728,-0.0789546
-21.48496056,9.39806747,-0.32895461
-21.48496056,9.29806709,-0.1789546
-21.73496056,9.34806728,0.8210454
-21.53495979,9.2480669,0.8210454
-21.58496094,9.29806709,0.8210454
-21.53495979,9.29806709,0.8210454
-21.13496017,7.99806738,0.2210454
-21.18496132,8.09806728,0.2210454
-21.08496094,7.94806719,0.3210454
-21.03495979,7.99806738,0.37104541
-21.03495979,8.09806728,0.3210454
-21.18496132,8.64806747,-0.37895459
-21.23496056,8.44806671,0.27104539
-21.03495979,8.39806747,0.3210454
-20.58496094,8.09806728,-0.2789546
-20.83496094,8.04806709,0.3210454
-20.78495979,7.94806719,0.2210454
-20.63496017,8.44806671,-0.2289546
-20.58496094,8.34806728,-0.2789546
-21.08496094,8.14806747,0.8210454
-20.98496056,8.44806671,0.77104539
-20.98496056,8.59806728,0.72104537
-20.98496056,8.64806747,0.72104537
-20.78495979,7.94806719,0.42104539
-20.88496017,7.898067,0.72104537
-20.88496017,8.14806747,0.72104537
-20.88496017,8.19806671,0.72104537
-20.88496017,8.2480669,0.72104537
-20.68496132,8.04806709,0.42104539
-20.88496017,8.29806709,0.77104539
-20.88496017,8.34806728,0.77104539
-20.83496094,8.29806709,0.77104539
-21.13496017,8.9980669,-0.2289546
-21.08496094,8.84806728,0.17104539
-21.08496094,9.14806747,-0.2289546
-21.08496094,9.39806747,-0.0289546
-21.28495979,9.44806671,0.37104541
-21.13496017,9.34806728,0.37104541
-21.03495979,9.2480669,0.37104541
-21.08496094,9.29806709,0.37104541
-20.83496094,8.84806728,-0.2289546
-20.78495979,8.7480669,-0.2289546
-20.78495979,9.04806709,-0.2289546
-20.63496017,8.69806671,-0.2289546
-20.63496017,8.89806747,-0.2289546
-20.58496094,8.94806671,-0.0289546
-20.53495979,8.94806671,-0.0289546
-20.78495979,9.04806709,0.1210454
-20.88496017,9.14806747,-0.2289546
-20.83496094,9.14806747,-0.2289546
-20.73496056,9.29806709,-0.2289546
-21.18496132,9.34806728,0.77104539
-21.18496132,9.44806671,0.77104539
-20.93496132,9.44806671,0.87104541
-20.98496056,9.39806747,0.92104542
-20.83496094,8.9980669,0.72104537
-20.63496017,9.09806728,1.17104542
-20.53495979,9.34806728,1.17104542
-20.58496094,9.44806671,1.12104535
-20.53495979,9.44806671,1.17104542
-20.03495979,6.74806738,-1.1789546
-19.98496056,6.84806728,-0.62895459
-19.33496094,7.84806728,-1.6789546
-19.38496017,7.79806709,-1.52895463
-19.28495979,7.74806738,-1.52895463
-19.18496132,7.84806728,-1.52895463
-19.03495979,7.59806728,-1.47895455
-18.98496056,7.54806709,-1.47895455
-19.03495979,7.79806709,-1.27895463
-18.93496132,7.74806738,-1.27895463
-18.98496056,7.79806709,-1.27895463
-19.28495979,7.24806738,-0.62895459
-19.18496132,7.148067,-0.57895458
-19.28495979,7.44806719,-0.72895461
-19.03495979,7.09806728,-0.57895458
-19.28495979,7.54806709,-0.72895461
-19.18496132,7.648067,-0.72895461
-19.18496132,7.648067,-0.62895459
-19.13496017,7.648067,-0.57895458
-19.18496132,7.69806719,-0.72895461
-19.18496132,7.74806738,-0.62895459
-19.13496017,7.84806728,-0.62895459
-19.08496094,7.74806738,-0.6789546
-20.48496056,6.49806738,0.5710454
-20.38496017,6.54806709,0.5710454
-20.28495979,6.54806709,0.5710454
-20.18496132,6.54806709,0.5710454
-20.23496056,6.79806709,1.0710454
-20.23496056,6.84806728,1.0710454
-20.28495979,6.94806719,1.0710454
-20.23496056,6.898067,1.0710454
-20.28495979,7.04806709,1.0710454
-20.08496094,6.54806709,0.5710454
-20.38496017,7.79806709,0.17104539
-20.28495979,7.148067,1.0710454
-20.28495979,7.19806719,1.0710454
-20.03495979,7.84806728,1.12104535
-20.38496017,8.64806747,-1.1789546
-20.03495979,8.09806728,-0.4289546
-19.98496056,8.39806747,-0.72895461
-20.48496056,8.79806709,-1.37895465
-20.43496132,8.89806747,-1.32895458
-19.73496056,9.29806709,-1.62895465
-20.43496132,9.19806671,-1.1789546
-20.23496056,9.14806747,-1.12895465
-19.83496094,8.79806709,-1.12895465
-19.33496094,7.94806719,-1.32895458
-19.38496017,8.29806709,-1.27895463
-19.18496132,7.898067,-1.47895455
-19.28495979,8.14806747,-1.52895463
-19.28495979,8.19806671,-1.47895455
-19.18496132,8.09806728,-1.47895455
-19.18496132,8.19806671,-1.37895465
-19.08496094,7.99806738,-1.47895455
-19.08496094,8.04806709,-1.37895465
-19.03495979,7.99806738,-1.37895465
-18.93496132,7.94806719,-1.27895463
-19.03495979,8.09806728,-1.47895455
-19.08496094,8.09806728,-1.37895465
-18.93496132,8.29806709,-1.22895455
-18.93496132,8.34806728,-1.22895455
